Year,Number of nuclear warheads
1945,6
1946,11
1947,32
1948,11
1949,236
1950,374
1951,665
1952,1055
1953,1557
1954,2218
1955,3267
1956,5094
1957,7162
1958,10751
1959,16606
1960,22144
1961,26752
1962,3092
1963,33953
1964,36553
1965,38419
1966,39466
1967,3999
1968,39015
1969,38278
1970,38799
1971,40616
1972,43026
1973,45695
1974,47182
1975,47769
1976,47698
1977,49698
1978,5117
1979,53499
1980,55352
1981,5653
1982,5857
1983,60818
1984,62678
1985,64408
1986,70374
1987,68387
1988,65623
1989,63657
1990,61229
1991,58326
1992,52463
1993,4883
1994,4558
1995,42366
1996,39484
1997,36776
1998,35387
1999,34677
2000,34004
2001,3319
2002,31902
2003,3082
2004,29627
2005,28358
2006,27061
2007,25533
2008,23855
2009,22524
2010,21234
2011,20035
2012,18855
2013,1768
2014,1637
2015,15795
2016,15233
2017,1455
2018,1448
2019,13875
2020,1316
2021,131
2022,12705
2023,12512
